"Column Name","Label"
"GEO_ID","Geography"
"NAME","Label for GEO_ID"
"H069001","Total"
"H069002","Total!!Less than 10 percent"
"H069003","Total!!10 to 14 percent"
"H069004","Total!!15 to 19 percent"
"H069005","Total!!20 to 24 percent"
"H069006","Total!!25 to 29 percent"
"H069007","Total!!30 to 34 percent"
"H069008","Total!!35 to 39 percent"
"H069009","Total!!40 to 49 percent"
"H069010","Total!!50 percent or more"
"H069011","Total!!Not computed"
